DateKey,Year,Quarter,QuarterName,YearQuarter,MonthNumber,MonthName,MonthShort,YearMonth,Day,DayOfWeekNum,DayName,WeekOfYear,IsWeekend
2009-02-15,2009,1,Q1,2009-Q1,2,February,Feb,2009-02,15,7,Sunday,7,1
2009-02-16,2009,1,Q1,2009-Q1,2,February,Feb,2009-02,16,1,Monday,8,0
2009-02-17,2009,1,Q1,2009-Q1,2,February,Feb,2009-02,17,2,Tuesday,8,0
2009-02-18,2009,1,Q1,2009-Q1,2,February,Feb,2009-02,18,3,Wednesday,8,0
2009-02-19,2009,1,Q1,2009-Q1,2,February,Feb,2009-02,19,4,Thursday,8,0
2009-02-20,2009,1,Q1,2009-Q1,2,February,Feb,2009-02,20,5,Friday,8,0
2009-02-21,2009,1,Q1,2009-Q1,2,February,Feb,2009-02,21,6,Saturday,8,1
2009-02-22,2009,1,Q1,2009-Q1,2,February,Feb,2009-02,22,7,Sunday,8,1
2009-02-23,2009,1,Q1,2009-Q1,2,February,Feb,2009-02,23,1,Monday,9,0
2009-02-24,2009,1,Q1,2009-Q1,2,February,Feb,2009-02,24,2,Tuesday,9,0
2009-02-25,2009,1,Q1,2009-Q1,2,February,Feb,2009-02,25,3,Wednesday,9,0
2009-02-26,2009,1,Q1,2009-Q1,2,February,Feb,2009-02,26,4,Thursday,9,0
2009-02-27,2009,1,Q1,2009-Q1,2,February,Feb,2009-02,27,5,Friday,9,0
2009-02-28,2009,1,Q1,2009-Q1,2,February,Feb,2009-02,28,6,Saturday,9,1
2009-03-01,2009,1,Q1,2009-Q1,3,March,Mar,2009-03,1,7,Sunday,9,1
2009-03-02,2009,1,Q1,2009-Q1,3,March,Mar,2009-03,2,1,Monday,10,0
2009-03-03,2009,1,Q1,2009-Q1,3,March,Mar,2009-03,3,2,Tuesday,10,0
2009-03-04,2009,1,Q1,2009-Q1,3,March,Mar,2009-03,4,3,Wednesday,10,0
2009-03-05,2009,1,Q1,2009-Q1,3,March,Mar,2009-03,5,4,Thursday,10,0
2009-03-06,2009,1,Q1,2009-Q1,3,March,Mar,2009-03,6,5,Friday,10,0
2009-03-07,2009,1,Q1,2009-Q1,3,March,Mar,2009-03,7,6,Saturday,10,1
2009-03-08,2009,1,Q1,2009-Q1,3,March,Mar,2009-03,8,7,Sunday,10,1
2009-03-09,2009,1,Q1,2009-Q1,3,March,Mar,2009-03,9,1,Monday,11,0
2009-03-10,2009,1,Q1,2009-Q1,3,March,Mar,2009-03,10,2,Tuesday,11,0
2009-03-11,2009,1,Q1,2009-Q1,3,March,Mar,2009-03,11,3,Wednesday,11,0
2009-03-12,2009,1,Q1,2009-Q1,3,March,Mar,2009-03,12,4,Thursday,11,0
2009-03-13,2009,1,Q1,2009-Q1,3,March,Mar,2009-03,13,5,Friday,11,0
2009-03-14,2009,1,Q1,2009-Q1,3,March,Mar,2009-03,14,6,Saturday,11,1
